hershey,unicode0,unicode1
1203,51,
1204,52,
1205,53,
1206,54,
1207,55,
1208,56,
1209,57,
1210,46,
1211,44,
1212,58,
1213,59,
1214,33,
1215,63,
1216,8242,39
1217,8243,34
1218,176,
1219,42,
1220,47,
1221,40,
1222,41,
1223,91,
1224,93,
1225,123,
1226,125,
1227,12296,10216
1228,12297,10217
1229,124,10072
1230,8214,
1231,8722,45
1232,43,
1233,177,
1234,8723,
1235,10799,215
1236,8901,
1237,247,
1238,61,
1239,8800,
1240,8801,
1241,60,
1242,62,
1243,8806,
1244,8807,
1245,8733,
1246,8764,
1247,8248,94
1248,180,769
1249,96,768
1250,774,
1251,8217,
1252,8216,
1253,8219,
1254,32,
1256,8834,
1257,8746,
1258,8835,
1259,8745,
1260,8712,
1261,8594,
1262,8593,
1263,8592,
1264,8595,
1265,8706,
1266,8711,
1267,8730,9143
1268,8747,
1269,8750,
1270,8734,
1271,37,
1272,38,
1273,64,
1274,36,
1275,35,
1276,167,
1277,8224,
1278,8225,
1279,8707,
1281,9737,
1282,9791,
1283,9792,
1284,128808,65038
1285,9794,
1286,9795,
1287,9796,
1288,9954,
1289,9798,
1290,9799,
1291,9790,
1292,9732,65038
1293,11090,
1294,9738,
1295,9739,
1401,928,8719
1402,931,8721
1403,40,
1404,41,
1405,91,
1406,93,
1407,123,
1408,125,
1409,9136,
1410,9137,
1411,8730,9143
1412,8747,
2001,65,
2002,66,
2003,67,
2004,68,
2005,69,
2006,70,
2007,71,
2008,72,
2009,73,
2010,74,
2011,75,
2012,76,
2013,77,
2014,78,
2015,79,
2016,80,
2017,81,
2018,82,
2019,83,
2020,84,
2021,85,
2022,86,
2023,87,
2024,88,
2025,89,
2026,90,
2027,913,
2028,914,
2029,915,
2030,916,
2031,917,
2032,918,
2033,919,
2034,920,
2035,921,
2036,922,
2037,923,
2038,924,
2039,925,
2040,926,
2041,927,
2042,928,
2043,929,
2044,931,
2045,932,
2046,933,
2047,934,
2048,935,
2049,936,
2050,937,
2051,65,119860
2052,66,119861
2053,67,119862
2054,68,119863
2055,69,119864
2056,70,119865
2057,71,119866
2058,72,119867
2059,73,119868
2060,74,119869
2061,75,119870
2062,76,119871
2063,77,119872
2064,78,119873
2065,79,119874
2066,80,119875
2067,81,119876
2068,82,119877
2069,83,119878
2070,84,119879
2071,85,119880
2072,86,119881
2073,87,119882
2074,88,119883
2075,89,119884
2076,90,119885
2077,8501,
2101,97,
2102,98,
2103,99,
2104,100,
2105,101,
2106,102,
2107,103,
2108,104,
2109,105,
2110,106,
2111,107,
2112,108,
2113,109,
2114,110,
2115,111,
2116,112,
2117,113,
2118,114,
2119,115,
2120,116,
2121,117,
2122,118,
2123,119,
2124,120,
2125,121,
2126,122,
2127,945,
2128,946,
2129,947,
2130,948,
2131,949,
2132,950,
2133,951,
2134,977,
2135,953,
2136,954,
2137,955,
2138,956,
2139,957,
2140,958,
2141,959,
2142,960,
2143,961,
2144,963,
2145,964,
2146,965,
2147,981,
2148,967,
2149,968,
2150,969,
2151,97,119886
2152,98,119887
2153,99,119888
2154,100,119889
2155,101,119890
2156,102,119891
2157,103,119892
2158,104,
2159,105,119894
2160,106,119895
2161,107,119896
2162,108,119897
2163,109,119898
2164,110,119899
2165,111,119900
2166,112,119901
2167,113,119902
2168,114,119903
2169,115,119904
2170,116,119905
2171,117,119906
2172,118,119907
2173,119,119908
2174,120,119909
2175,121,119910
2176,122,119911
2177,64256,
2178,64257,
2179,64258,
2180,64259,
2181,64260,
2182,305,
2184,1013,
2185,952,
2186,966,
2187,962,
2190,8472,
2191,64256,
2192,64257,
2193,64258,
2194,64259,
2195,64260,
2196,305,
2197,8203,
2198,8194,
2199,8195,32
2200,48,
2201,49,
2202,50,
2203,51,
2204,52,
2205,53,
2206,54,
2207,55,
2208,56,
2209,57,
2210,46,
2211,44,
2212,58,
2213,59,
2214,33,
2215,63,
2216,8242,39
2217,8243,34
2218,176,
2219,42,
2220,47,
2221,40,
2222,41,
2223,91,
2224,93,
2225,123,
2226,125,
2227,12296,10216
2228,12297,10217
2229,124,10072
2230,8214,
2231,8722,45
2232,43,
2233,177,
2234,8723,
2235,10799,215
2236,8901,
2237,247,
2238,61,
2239,8800,
2240,8801,
2241,60,
2242,62,
2243,8806,
2244,8807,
2245,8733,
2246,8764,
2247,8248,94
2248,180,769
2249,96,768
2250,774,
2251,8217,
2252,8216,
2253,8219,
2254,,
2255,8730,9143
2256,8834,
2257,8746,
2258,8835,
2259,8745,
2260,8712,
2261,8594,
2262,8593,
2263,8592,
2264,8595,
2265,8706,
2266,8711,
2267,8730,
2268,8747,
2269,8750,
2270,8734,
2271,37,
2272,38,
2273,64,
2274,36,
2275,35,
2276,167,
2277,8224,
2278,8225,
2279,8707,
2281,9737,
2282,9791,
2283,9792,
2284,128808,65038
2285,9794,
2286,9795,
2287,9796,
2288,9954,
2289,9798,
2290,9799,
2291,9790,
2292,9732,65038
2293,11090,
2294,9738,
2295,9739,
2301,9800,
2302,9801,
2303,9802,
2304,9803,
2305,9804,
2306,9805,
2307,9806,
2308,9807,
2309,9808,
2310,9809,
2311,9810,
2312,9811,
2317,119149,
2318,119150,
2319,,
2320,119133,
2321,119134,
2322,119135,
2323,9839,
2324,9838,
